station,SOC provided,whether_electrified,whether_electrified
3363,992.0488923,FALSE,FALSE
3364,1790.591667,FALSE,FALSE
3365,1511.86682,FALSE,FALSE
3366,3055.829867,TRUE,TRUE
3367,3772.859186,TRUE,TRUE
3368,1517.3752,FALSE,FALSE
3369,1753.418667,FALSE,FALSE
3370,2447.410509,TRUE,TRUE
3371,808.0218879,FALSE,FALSE
3372,5610.549112,TRUE,TRUE
3373,6338.262759,TRUE,TRUE
3374,10009.47178,FALSE,FALSE
3375,1551.070782,FALSE,FALSE
3376,2998.916313,TRUE,TRUE
3377,1425.241401,FALSE,FALSE
3378,3360.66,TRUE,TRUE
3379,1011.168747,FALSE,FALSE
3381,621.442399,FALSE,FALSE
3382,7414.157236,TRUE,TRUE
3383,9416.125059,TRUE,TRUE
3384,1177.853413,FALSE,FALSE
3386,869.5414939,FALSE,FALSE
3387,806.3127796,FALSE,FALSE
3388,1238.824401,FALSE,FALSE
3389,1244.210333,FALSE,FALSE
3390,1752.283705,FALSE,FALSE
3391,1406.054428,FALSE,FALSE
3392,399.1985287,FALSE,FALSE
3393,182.2713559,FALSE,FALSE
3394,157.3511265,FALSE,FALSE
3395,80.5642712,FALSE,FALSE
3396,1435.047156,FALSE,FALSE
3397,1002.698872,FALSE,FALSE
3398,591.1218222,FALSE,FALSE
3399,464.1374901,FALSE,FALSE
3400,3050.871287,FALSE,FALSE
3401,453.0048188,FALSE,FALSE
3402,2303.825622,FALSE,FALSE
3403,1182.733935,FALSE,FALSE
3404,1219.479241,FALSE,FALSE
3405,1051.536642,FALSE,FALSE
3407,1781.2997,FALSE,FALSE
3408,1235.809734,FALSE,FALSE
3409,4143.199208,FALSE,FALSE
3410,1077.865255,FALSE,FALSE
3411,1242.912745,FALSE,FALSE
3412,637.3522238,FALSE,FALSE
3413,758.233074,FALSE,FALSE
3414,1854.15719,FALSE,FALSE
3415,1590.766685,FALSE,FALSE
3416,3573.337076,FALSE,FALSE
3417,1534.774398,FALSE,FALSE
3418,2912.430655,FALSE,FALSE
3419,1255.168227,FALSE,FALSE
3420,1129.924372,FALSE,FALSE
3421,512.3646842,FALSE,FALSE
3422,1121.306751,FALSE,FALSE
3423,11090.76633,TRUE,TRUE
3424,693.0423346,FALSE,FALSE
3425,1391.770371,FALSE,FALSE
3427,21136.81342,TRUE,TRUE
3428,13150.359,TRUE,TRUE
3429,20036.23602,TRUE,TRUE
3430,835.7023805,FALSE,FALSE
3431,3252.197005,FALSE,FALSE
3432,141.1425397,FALSE,FALSE
3434,3004.741514,TRUE,TRUE
3435,22765.29464,TRUE,TRUE
3436,8474.642967,TRUE,TRUE
3437,1271.895537,FALSE,FALSE
3438,2586.623585,TRUE,TRUE
3440,11704.90534,TRUE,TRUE
3441,603.021645,FALSE,FALSE
3443,8932.841302,TRUE,TRUE
3445,1064.211026,FALSE,FALSE
3447,3394.927287,TRUE,TRUE
3449,3811.703995,TRUE,TRUE
3452,557.0563953,FALSE,FALSE
3453,6527.32798,TRUE,TRUE
3454,4907.592145,TRUE,TRUE
3455,963.7721414,FALSE,FALSE
3456,560.4276138,FALSE,FALSE
3457,2803.944647,TRUE,TRUE
3458,5428.873387,FALSE,FALSE
3459,8228.121351,TRUE,TRUE
3461,8168.583542,TRUE,TRUE
3462,6388.12435,TRUE,TRUE
3463,9965.666147,TRUE,TRUE
3464,3386.143926,TRUE,TRUE
3466,8860.588746,TRUE,TRUE
3467,2305.358251,FALSE,FALSE
3468,28.61024837,FALSE,FALSE
3469,251.0834897,FALSE,FALSE
3470,0,FALSE,FALSE
3471,0,FALSE,FALSE
3472,5048.798024,FALSE,FALSE
3474,2978.389659,FALSE,FALSE
3476,433.6796625,FALSE,FALSE
3477,11.46492883,FALSE,FALSE
3478,511.4348225,FALSE,FALSE
3479,2558.103949,FALSE,FALSE
3480,0,FALSE,FALSE
3481,68.08097981,FALSE,FALSE
3486,316.6090921,FALSE,FALSE
3489,421.6611187,FALSE,FALSE
3490,35.99677279,FALSE,FALSE
3492,36.50361896,FALSE,FALSE
3493,31.96101186,FALSE,FALSE
3494,14.58878737,FALSE,FALSE
3495,160.4088947,FALSE,FALSE
3496,287.9251629,FALSE,FALSE
3497,73.3061202,FALSE,FALSE
3499,0,FALSE,FALSE
3500,6.132645942,FALSE,FALSE
3501,13.11591278,FALSE,FALSE
3502,0,FALSE,FALSE
3503,28.56708773,FALSE,FALSE
3504,12.39192771,FALSE,FALSE
3506,0,FALSE,FALSE
3507,36.60806705,FALSE,FALSE
3508,97.7416872,FALSE,FALSE
3509,192.6760808,FALSE,FALSE
3510,10.96110814,FALSE,FALSE
3511,215.2883559,FALSE,FALSE
3518,38.94601285,FALSE,FALSE
3527,0,FALSE,FALSE
3529,103.0630017,FALSE,FALSE
3531,26.92014097,FALSE,FALSE
3533,54.18999387,FALSE,FALSE
3535,87.37467145,FALSE,FALSE
3536,228.3800347,FALSE,FALSE
3538,168.127973,FALSE,FALSE
3540,47.3468619,FALSE,FALSE
3541,96.05062582,FALSE,FALSE
3542,175.9027737,FALSE,FALSE
3545,51.43481225,FALSE,FALSE
3547,94.61721831,FALSE,FALSE
3551,20.4631525,FALSE,FALSE
3552,285.0409026,FALSE,FALSE
3553,295.6041628,FALSE,FALSE
3554,83.42471337,FALSE,FALSE
3555,0,FALSE,FALSE
3556,25.20574547,FALSE,FALSE
3557,0,FALSE,FALSE
3560,5.470995708,FALSE,FALSE
3561,18.40588783,FALSE,FALSE
3563,16.35645006,FALSE,FALSE
3564,0,FALSE,FALSE
3565,2.528164836,FALSE,FALSE
3566,0,FALSE,FALSE
3567,0,FALSE,FALSE
3568,0,FALSE,FALSE
3570,0,FALSE,FALSE
3572,0,FALSE,FALSE
3573,0,FALSE,FALSE
3577,0,FALSE,FALSE
3586,0,FALSE,FALSE
3588,0,FALSE,FALSE
3589,0,FALSE,FALSE
3591,0,FALSE,FALSE
3592,0,FALSE,FALSE
3593,30.18947676,FALSE,FALSE
3597,0,FALSE,FALSE
3598,0,FALSE,FALSE
3602,0,FALSE,FALSE
3603,24.36303677,FALSE,FALSE
3605,0,FALSE,FALSE
3609,0,FALSE,FALSE
3610,0,FALSE,FALSE
3611,0,FALSE,FALSE
3615,0,FALSE,FALSE
3623,0,FALSE,FALSE
3625,0,FALSE,FALSE
3629,0,FALSE,FALSE
3632,752.8761521,FALSE,FALSE
3635,0,FALSE,FALSE
3636,0,FALSE,FALSE
3637,0,FALSE,FALSE
3641,0,FALSE,FALSE
3646,0,FALSE,FALSE
